sample,x,y,z,Radii,ToothNr,ToothSide,ToothClass,Jawbone,mass_mean,contamination_mean,PMD_reads_mean,yield_mean,anterior_taxa,posterior_taxa,other_surfaces_taxa,interproximal_taxa,low_mass_taxa,high_mass_taxa
1,199,47,0,12,11,I,Incisor,Maxilla,0.9,0.00462051,2.64E-05,21.33333333,0.054500215,0.002228257,0.033092025,0.016219945,0.033897582,0.011244337
2,224,66,0,12,11,L,Incisor,Maxilla,3.1,0.003687277,5.44E-06,37,0.206601674,0,0.007048056,0.047146423,0.005354593,0.07700773
3,153,63,0,12,13,B,Canine,Maxilla,6.833333333,0.001897739,1.96E-05,20.64705882,0.064546552,0.005643634,0.072541644,0.008627995,0.081228884,0.015574825
4,174,91,0,12,13,L,Canine,Maxilla,10,0.004365876,1.90E-05,57.28571429,0.148780531,0,0.018635568,0.027459995,0.010776521,0.1044241
5,128,85,0,12,14,B,Premolar,Maxilla,4.066666667,0.001990692,1.32E-05,9.098397436,0.011894701,0.008596647,0.136424794,0.020854844,0.184028337,0.005211201
6,109,114,0,12,15,B,Premolar,Maxilla,3.9,0.002545862,1.83E-05,13.93863636,0.015664444,0.005241711,0.058011953,0.00895436,0.103518253,0.049185139
7,103,148,0,12,16,B,Molar,Maxilla,8.25,0.00646335,1.31E-05,8.664285714,0.038549791,0.000871324,0.058531512,0.007805621,0.035275588,0.065701023
8,117,179,0,12,16,I,Molar,Maxilla,2,0.002772072,2.40E-06,7.25,0.133439342,0,0.015952843,0.039332685,0.00726455,0.097979507
9,92,191,0,12,17,B,Molar,Maxilla,4,0.005753575,6.13E-06,25.225,0.066417727,0.002330163,0.039900741,0.014009988,0.082620371,0.27151343
10,133,254,0,12,18,L,Molar,Maxilla,1.2,0.001871114,1.94E-05,5.558333333,0.022751697,0.004555705,0.130999463,0.018117313,0.109820237,0.029284865
11,257,31,0,12,21,B,Incisor,Maxilla,3.5,0.001248855,2.57E-05,13.06666667,0.019279461,0.002084172,0.059226385,0.017005858,0.148363331,0.001937223
12,292,46,0,12,22,B,Incisor,Maxilla,2.5,0.002674025,2.51E-05,11.92,0.021632689,0.00582797,0.043109838,0.033734218,0.123043257,0.002302143
13,301,64,0,12,22,I,Incisor,Maxilla,1.2,0.00141543,9.39E-06,8,0.003974657,0.000559191,0.070379642,0.001580974,0.111231899,0.001271219
14,322,66,0,12,23,B,Canine,Maxilla,3.8,0.001473544,1.17E-05,5.476190476,0.00275652,0.007812803,0.053132719,0.000931312,0.087466251,0.000870624
15,300,90,0,12,23,L,Canine,Maxilla,1.5,0.005233106,3.55E-06,3.2,0.070963534,0.038074088,0.029710139,0.259196546,0.03650466,0.001654462
16,342,89,0,12,24,B,Premolar,Maxilla,8.4,0.001942623,1.41E-05,12.61160714,0.012850175,0.005237337,0.048755219,0.031951233,0.032070656,0.011663587
17,311,113,0,12,24,L,Premolar,Maxilla,10,0.001466283,2.85E-06,8.5,0.011048548,0.006394385,0.040511923,0.013560586,0.036008983,0.000337342
18,355,117,0,12,25,B,Premolar,Maxilla,6.3,0.001102953,8.22E-06,11.26086957,0.004319385,0.009215915,0.053190339,0.013335555,0.070965862,0.001457591
19,364,154,0,12,26,B,Molar,Maxilla,13.2,0.002641826,5.09E-05,12.47584541,0.014383565,0.003648588,0.070500561,0.015033789,0.082788188,0.023433031
20,318,170,0,12,26,L,Molar,Maxilla,19.7,0.003274735,1.10E-05,21.48,0.026668819,0.004784154,0.062919171,0.016442567,0.006593227,0.011865054
21,342,164,0,12,26,O,Molar,Maxilla,,0.002633556,,,,,,,,
22,376,202,0,12,27,B,Molar,Maxilla,101.45,0.003127361,2.16E-05,17.7545156,0.015329411,0.019903027,0.02368267,0.037872761,0.029864672,0.333015808
23,348,189,0,12,27,I,Molar,Maxilla,1.7,0.001368836,6.54E-06,17.35294118,0.031782312,0.015433435,0.041944147,0.079370142,0.077869997,0.005512905
24,329,219,0,12,27,L,Molar,Maxilla,35.4,0.00478093,4.08E-06,10.41666667,0.029847387,0.010275561,0.022162358,0.070964778,0.018898223,0.001813589
25,377,247,0,12,28,B,Molar,Maxilla,14.55,0.002334404,3.11E-06,18.51362179,0.017422115,0.021085678,0.02340322,0.033410194,0.015718922,0.003083029
26,329,252,0,12,28,L,Molar,Maxilla,3.3,0.002807461,2.50E-06,9.409090909,0.010872151,0.016197808,0.034900705,0.022642143,0.023385655,0.001562056
27,352,249,0,12,28,O,Molar,Maxilla,,0.005343577,,,,,,,,
28,249,588,0,12,31,B,Incisor,Mandibula,1.5,0.002047062,2.32E-05,25.6,0.026968082,0.001068638,0.144980147,0.002326266,0.101388278,0.026629457
29,242,558,0,12,31,L,Incisor,Mandibula,2.55,0.002533651,1.80E-05,19.19545455,0.09382017,0,0.067157812,0.00560421,0.069300257,0.082577504
30,272,579,0,12,32,B,Incisor,Mandibula,2.8,0.000977305,1.29E-05,11.19602273,0.016110682,0.004647117,0.090877746,0.010238866,0.220201578,0.003417124
31,277,565,0,12,32,I,Incisor,Mandibula,1.2,0.003621819,1.63E-05,6.916666667,0.235106271,0.01036697,0.02421313,0.244820328,0.071675834,0.00864206
32,260,556,0,12,32,L,Incisor,Mandibula,5.2,0.002055728,2.25E-05,20.58900433,0.052737486,0.004059437,0.044556993,0.025956822,0.060084443,0.059786534
33,296,566,0,12,33,B,Canine,Mandibula,3.55,0.001719978,5.33E-06,17.61666667,0.00591218,0.00474619,0.065375211,0.016270778,0.192393712,0.001986198
34,274,542,0,12,33,L,Canine,Mandibula,15.75,0.00387481,1.12E-05,14.30175439,0.128706155,0.000703976,0.056144297,0.016503831,0.024215676,0.054721412
35,315,545,0,12,34,B,Premolar,Mandibula,1.8,0.00151289,9.14E-06,12.79722222,0.017388043,0.009028926,0.153814715,0.034944346,0.147836015,0.00413854
36,289,528,0,12,34,L,Premolar,Mandibula,14.4,0.002956605,9.58E-06,18.90909091,0.086838445,0.002781673,0.043363341,0.015597238,0.006529099,0.017930901
37,327,516,0,12,35,B,Premolar,Mandibula,4.55,0.002327517,6.64E-06,12.72727273,0.05335277,0.007189934,0.028261882,0.066830628,0.038338277,0.001785298
38,297,503,0,12,35,L,Premolar,Mandibula,5.9,0.005210063,4.16E-06,6.391304348,0.075463302,0.006152128,0.024979336,0.038001203,0.010624542,0.008868107
39,309,509,0,12,35,O,Premolar,Mandibula,,0.006951474,,,,,,,,
40,306,465,0,12,36,L,Molar,Mandibula,1.8,0.00487769,1.67E-05,12.77777778,0.055481863,0.001422191,0.044147047,0.009126967,0.018368732,0.076906267
41,354,439,0,12,37,B,Molar,Mandibula,16,0.007104491,6.25E-06,13.85714286,0.1700573,0,0.038235872,0.007738897,0.004210614,0.100126019
